topic	score	attempt	status	issues
1.1.1	9/10	1	revise	마지막 줄 objectives 중복 제거
1.1.2	9/10	1	revise	green/yellow/red 용어 문단 분리
1.1.3	10/10	1	pass	-
1.2.1	9/10	1	revise	역색인/Term Dict/Posting List 문단 분리
1.2.2	10/10	1	pass	-
1.2.3	10/10	1	pass	-
1.2.4	10/10	1	pass	-
1.3.1	10/10	1	pass	-
1.3.2	10/10	1	pass	-
1.3.3	9/10	1	revise	중복 objectives 문장 제거
2.1.1	10/10	1	pass	-
2.1.2	10/10	1	pass	-
2.1.3	10/10	1	pass	-
2.2.1	10/10	1	pass	-
2.2.2	7/10	1	revise	범위 타입 용어 분리, 중복 objectives 제거
2.2.3	10/10	1	pass	-
2.2.4	10/10	1	pass	-
2.3.1	10/10	1	pass	-
2.3.2	10/10	1	pass	-
2.3.3	9/10	1	revise	synonym_graph 보강
2.3.4	10/10	1	pass	-
2.4.1	10/10	1	pass	-
2.4.2	10/10	1	pass	-
2.4.3	10/10	1	pass	-
2.4.4	10/10	1	pass	-
3.1.1	10/10	1	pass	-
3.1.2	9/10	1	revise	INCOMPLETE 마커 제거, objectives→다음 단원 안내
3.1.3	9/10	1	revise	bulk helper 보강
3.2.1	10/10	1	pass	-
3.2.2	9/10	1	revise	minimum_should_match 보강
3.2.3	10/10	1	pass	-
3.2.4	10/10	1	pass	-
