timestamp	source_id	action	url	title	keywords	content_length	notes
2026-03-27	017	saved	https://docs.dify.ai/en/use-dify/knowledge/readme	Knowledge - Dify Docs	Dify RAG pipeline, Dify retrieval strategy	3280	Official docs: Knowledge base overview and RAG introduction
2026-03-27	018	saved	https://docs.dify.ai/en/use-dify/knowledge/create-knowledge/setting-indexing-methods	Specify the Index Method and Retrieval Settings - Dify Docs	Dify retrieval strategy, Dify embedding and reranking, Dify RAG pipeline	7850	Official docs: Vector/full-text/hybrid search settings, rerank, TopK, score threshold
2026-03-27	019	saved	https://dify.ai/blog/hybrid-search-rerank-rag-improvement	Introducing Hybrid Search and Rerank to Improve the Retrieval Accuracy of the RAG System	Dify RAG pipeline, Dify retrieval strategy, Dify embedding and reranking	8920	Blog: Deep dive on hybrid search + rerank with Azure AI benchmarks
2026-03-27	020	saved	https://dify.ai/blog/agentic-rag-smarter-retrieval-with-autonomous-reasoning	Agentic RAG: Smarter Retrieval with Autonomous Reasoning	Dify agentic RAG, Dify RAG pipeline, Dify retrieval strategy	7640	Blog: Agentic RAG with Agent Node, iterative retrieval, query rewriting
2026-03-27	021	saved	https://dify.ai/blog/multimodal-retrieval-is-now-available-in-the-knowledge-base	Multimodal retrieval is now available in the knowledge-Base	Dify multimodal retrieval, Dify embedding and reranking, Dify RAG pipeline	5980	Blog: Multimodal embeddings, cross-modal retrieval, VISION badge models
2026-03-27	022	saved	https://dify.ai/blog/introducing-knowledge-pipeline	Introducing Knowledge Pipeline	Dify RAG pipeline, Dify retrieval strategy, Dify embedding and reranking	7450	Blog: Visual RAG ETL pipeline, pluggable processing, enterprise data sources
2026-03-27	023	saved	https://zilliz.com/learn/building-rag-with-dify-and-milvus	Building RAG with Dify and Milvus	Dify RAG pipeline, Dify retrieval strategy, Dify embedding and reranking	6820	Tutorial: Step-by-step RAG setup with Dify + Milvus vector DB
2026-03-27	009	saved	https://dify.ai/blog/dify-ai-workflow	Introducing Dify Workflow	Dify workflow, Dify workflow nodes, Dify chatflow	3842	Blog: Workflow launch announcement, drag-drop canvas, core node types, DSL portability
2026-03-27	010	saved	https://docs.dify.ai/en/use-dify/getting-started/key-concepts	Key Concepts - Dify Docs (Workflow, Chatflow, Variables)	Dify workflow, Dify chatflow, Dify workflow nodes	4526	Official docs: Workflow vs Chatflow differences, variables, system variables, DSL
2026-03-27	011	saved	https://dify.ai/blog/why-a-reliable-visual-agentic-workflow-matters	Why A Reliable Visual Agentic Workflow Matters	Dify workflow, Dify workflow engine, Dify chatflow	5890	Blog: Agentic workflow philosophy, visual clarity, reliability pillars, progressive UX
2026-03-27	012	saved	https://dify.ai/blog/accelerating-workflow-processing-with-parallel-branch	Dify v0.8.0: Accelerating Workflow Processing with Parallel Branch	Dify workflow engine, Dify workflow nodes, Dify workflow	4215	Blog: Parallel execution (simple, nested, iterative, conditional) with real examples
2026-03-27	013	saved	https://docs.dify.ai/en/use-dify/nodes/llm	LLM Node - Dify Docs	Dify workflow nodes, Dify workflow	3680	Official docs: LLM node config, prompts, context vars, structured output, Jinja2, memory
2026-03-27	014	saved	https://dify.ai/blog/dify-1-5-0-real-time-workflow-debugging-that-actually-works	Dify 1.5.0: Real-Time Workflow Debugging That Actually Works	Dify workflow engine, Dify workflow, Dify workflow nodes	4350	Blog: Workflow engine rebuild, variable inspect panel, last run tracking, step-by-step debug
2026-03-27	015	saved	https://dify.ai/blog/boost-ai-workflow-resilience-with-error-handling	Dify v0.14.0: Boost AI Workflow Resilience with Error Handling	Dify workflow engine, Dify workflow nodes, Dify workflow	2980	Blog: Error handling for LLM/HTTP/Tool/Code nodes, default values, workflow redirection
2026-03-27	016	saved	https://dify.ai/blog/dify-agent-node-introduction-when-workflows-learn-autonomous-reasoning	Dify Agent Node Introduction - Autonomous Reasoning	Dify workflow nodes, Dify workflow, Dify workflow engine	4520	Blog: Agent Node + Agent Strategy plugin, ReAct/Function Calling, declarative config
2026-03-27	001	saved	https://github.com/langgenius/dify	Dify GitHub Repository README	Dify platform overview, Dify architecture, Dify application types	3842	Official GitHub README with core features, stats, deployment options
2026-03-27	002	saved	https://docs.dify.ai/en/use-dify/getting-started/introduction	Dify Official Documentation - Introduction	Dify platform overview	1205	Official docs introduction page
2026-03-27	003	saved	https://docs.dify.ai/en/use-dify/getting-started/key-concepts	Dify Official Documentation - Key Concepts	Dify platform overview, Dify application types	5890	App types (Workflow/Chatflow/Chatbot/Agent/TextGen), variables, DSL
2026-03-27	004	saved	https://dify.ai/blog/dify-rolls-out-new-architecture	Dify Beehive Architecture Blog Post	Dify architecture, Dify platform overview	5620	Beehive architecture design, Model Runtime module
2026-03-27	005	saved	https://deepwiki.com/langgenius/dify-docs/1.1-system-architecture	DeepWiki Platform Architecture Analysis	Dify architecture, Dify platform overview, Dify application types	12450	Comprehensive: 4 domains, 5 core components, deployment architecture, data flows
2026-03-27	006	saved	https://dify.ai/blog/dify-plugin-system-design-and-implementation	Dify Plugin System Design and Implementation	Dify architecture, Dify platform overview	7820	Plugin system: 6 types, 4 runtimes, reverse call, security model
2026-03-27	007	saved	https://skywork.ai/blog/dify-review-2025-workflows-agents-rag-ai-apps/	Dify Review 2025: Workflows, Agents, RAG	Dify platform overview, Dify application types, Dify architecture	8950	Third-party review: comparison with LangFlow/Flowise, RAG quality, observability
2026-03-27	-	discarded	https://www.baytechconsulting.com/blog/what-is-dify-ai-2025	BayTech Consulting Dify Overview	Dify platform overview	108661	Content too large; mostly redundant with other sources
2026-03-27	-	discarded	https://docs.dify.ai/en/guides/application-orchestrate/creating-an-application	Dify Create Application Docs	Dify application types	0	Redirected to Quick Start tutorial page
2026-03-27	-	discarded	https://docs.dify.ai/en/guides/application-orchestrate/readme	Dify Application Orchestration Docs	Dify application types	0	Redirected to Quick Start tutorial page
2026-03-27	031	saved	https://docs.dify.ai/en/use-dify/nodes/agent	Agent Node - Dify Official Documentation	Dify agent node, Dify agent strategy	3820	Official docs: Agent node config, Function Calling/ReAct strategies, tools, memory, output vars
2026-03-27	032	saved	https://docs.dify.ai/en/use-dify/nodes/tools	Tools Node - Dify Official Documentation	Dify tool integration, Dify agent node	3250	Official docs: Built-in/Custom/Workflow/MCP tool types, auth, error handling, OpenAPI import
2026-03-27	033	saved	https://dify.ai/blog/v1-6-0-built-in-two-way-mcp-support	Dify v1.6.0: Built-in Two-Way MCP Support	Dify MCP integration, Dify tool integration, Dify agent node	4850	Blog: Native MCP in v1.6, 3 usage modes, Linear example, publish as MCP server
2026-03-27	034	saved	https://dify.ai/blog/turn-your-dify-app-into-an-mcp-server	Turn Your Dify App into an MCP Server	Dify MCP integration, Dify tool integration	4620	Blog: mcp-server plugin setup, endpoint config, JSON schema, Cursor integration
2026-03-27	035	saved	https://docs.dify.ai/en/use-dify/publish/publish-mcp	MCP Server - Dify Official Documentation (Publish)	Dify MCP integration, Dify tool integration	1950	Official docs: Expose apps as MCP servers, Claude Desktop/Cursor integration
2026-03-27	036	saved	https://docs.dify.ai/en/use-dify/build/mcp	Using MCP Tools - Dify Official Documentation	Dify MCP integration, Dify tool integration, Dify agent node	3180	Official docs: Adding MCP servers, tool customization, auto/fixed params, troubleshooting
2026-03-27	-	discarded	https://docs.dify.ai/plugins/schema-definition/agent	Agent Plugin Schema Definition	Dify agent strategy	0	Redirected to generic plugin overview page; too thin for standalone source
2026-03-27	024	saved	https://docs.dify.ai/en/use-dify/knowledge/create-knowledge/chunking-and-cleaning-text	Configure the Chunk Settings - Dify Docs	Dify document processing, Dify knowledge base	4350	Official docs: Chunking modes (General/Parent-child), delimiters, overlap, text cleaning, summary auto-gen
2026-03-27	025	saved	https://dify.ai/blog/dify-v1-1-0-filtering-knowledge-retrieval-with-customized-metadata	Dify v1.1.0: Filtering Knowledge Retrieval with Customized Metadata	Dify metadata filtering, Dify knowledge base	4580	Blog: Metadata as knowledge filter, 3 types (string/number/time), access control, auto/manual filtering
2026-03-27	026	saved	https://docs.dify.ai/en/use-dify/knowledge/metadata	Manage Document Metadata - Dify Docs	Dify metadata filtering, Dify knowledge base	5920	Official docs: Metadata fields/values, built-in vs custom, bulk edit, CRUD operations, FAQ
2026-03-27	027	saved	https://docs.dify.ai/en/use-dify/knowledge/knowledge-pipeline/knowledge-pipeline-orchestration	Step 2: Orchestrate Knowledge Pipeline - Dify Docs	Dify knowledge pipeline, Dify document processing, Dify knowledge base	8450	Official docs: Visual pipeline builder, node types (Extractor/Chunker/Indexer/KB), file formats, publishing
2026-03-27	028	saved	https://dify.ai/blog/introducing-parent-child-retrieval-for-enhanced-knowledge	Dify v0.15.0: Introducing Parent-child Retrieval for Enhanced Knowledge	Dify document processing, Dify knowledge base	5280	Blog: Parent-child retrieval mechanism, Paragraph/Full Doc modes, chunk editing, UI preview
2026-03-27	029	saved	https://docs.dify.ai/en/use-dify/knowledge/integrate-knowledge-within-application	Integrate Knowledge within Apps - Dify Docs	Dify knowledge base, Dify metadata filtering	7650	Official docs: KB-app integration, retrieval modes, Weighted Score vs Rerank, metadata filtering config
2026-03-27	-	discarded	https://docs.dify.ai/en/use-dify/knowledge/create-knowledge/introduction	Quick Create Knowledge - Dify Docs	Dify knowledge base	380	Too short; only contains a 4-step overview linking to other pages
2026-03-27	-	discarded	https://docs.dify.ai/en/use-dify/knowledge/create-knowledge/import-text-data/readme	Upload Local Files - Dify Docs	Dify knowledge base	480	Under 500 chars threshold; mostly file limits and image extraction notes
2026-03-27	038	saved	https://dify.ai/blog/mastering-new-prompt-orchestration-in-dify-ai	From Basic to Expert: Mastering the New Prompt Orchestration in Dify.AI	Dify prompt orchestration, Dify prompt engineering, expert mode, basic mode	3850	Blog: Expert Mode vs Basic Mode, CHAT/COMPLETE models, SYSTEM/USER/ASSISTANT messages, Log View
2026-03-27	039	saved	https://dify.ai/blog/prompt-engineering-for-workflow-ready-llm-apps	Prompt Engineering for Workflow-Ready LLM Apps	Dify prompt engineering, Dify prompt orchestration, workflow prompt design	4520	Blog: Production prompt anatomy, system vs user prompt, JSON schemas, anti-hallucination, token optimization
2026-03-27	040	saved	https://dify.ai/blog/dify-conversation-variables-building-a-simplified-openai-memory	Dify Conversation Variables: Building a Simplified OpenAI Memory	Dify prompt variables, Dify conversation variables, context memory	5280	Blog: Conversation Variables as short-term memory, simulating OpenAI Memory, step-by-step guide with code
2026-03-27	041	saved	https://dify.ai/blog/enhancing-llm-memory-with-conversation-variables-and-variable-assigners	Dify v0.7.0: Enhancing LLM Memory with Conversation Variables and Variable Assigners	Dify prompt variables, Dify conversation variables, variable assigner	3680	Blog: Conversation Variables + Variable Assigner nodes, precise context management, use cases
2026-03-27	042	saved	https://docs.dify.ai/en/use-dify/workspace/model-providers	Model Providers - Dify Docs	Dify model providers, Dify supported models, model configuration	5940	Official docs: System vs Custom providers, supported providers list, credential management, load balancing
2026-03-27	043	saved	https://docs.dify.ai/en/develop-plugin/dev-guides-and-walkthroughs/creating-new-model-provider	Model Provider Plugin Development - Dify Docs	Dify model provider plugin, predefined model, customizable model	8450	Official docs: Plugin dev guide, predefined vs custom models, YAML config, Python implementation, debug/publish
2026-03-27	044	saved	https://dify.ai/blog/how-to-run-open-source-model-gemma-on-dify	How to Run Open Source Model Gemma on Dify	Dify supported models, Dify local model deployment, Hugging Face	5120	Blog: Hugging Face Hosted Inference API + Inference Endpoint methods, open-source model support list
2026-03-27	045	saved	https://aisharenet.com/en/anzhuang-dify-bingjicheng/	Install Dify and Integrate Ollama and Xinference	Dify Ollama integration, Dify local model deployment, Xinference	4380	Tutorial: Docker install, Ollama qwen2:7b setup, Xinference bge-m3 embedding + bge-reranker, KB Q&A
2026-03-27	046	saved	https://www.amd.com/en/developer/resources/technical-articles/2025/harnessing-dify-and-local-llms-on-ryzen-ai-pcs-for-private-workf.html	Harnessing Dify + Local LLMs on AMD Ryzen AI PCs	Dify local model deployment, Dify self-hosted, local LLM, private AI	4650	Technical article: Dify + Lemonade Server on AMD Ryzen AI, private workflow, Ask My Docs example
2026-03-27	-	discarded	https://docs.dify.ai/en/development/models-integration/ollama	Integrate Local Models Deployed by Ollama - Dify Docs	Dify Ollama integration	0	404 Not Found - URL deprecated after docs restructuring
2026-03-27	-	discarded	https://docs.dify.ai/en/learn-more/use-cases/private-ai-ollama-deepseek-dify	Private Deployment of Ollama + DeepSeek + Dify	Dify Ollama integration	0	Redirected to introduction page; content no longer at this URL
2026-03-27	048	saved	https://docs.dify.ai/en/use-dify/publish/developing-with-apis	API - Dify Docs	Dify API, Dify backend-as-a-service, Dify RESTful endpoints	3850	Official docs: API integration guide, text-gen + chat endpoints, auth, conversation_id management
2026-03-27	049	saved	https://docs.dify.ai/en/use-dify/publish/webapp/embedding-in-websites	Embedding Your Web App - Dify Docs	Dify application publishing, Dify web app embed, Dify iframe	5420	Official docs: Chat bubble widget, iframe integration, JS control, CSS vars, input passing
2026-03-27	050	saved	https://docs.dify.ai/en/use-dify/publish/publish-mcp	MCP Server - Dify Docs	Dify MCP server, Dify publish MCP, Dify application publishing	2180	Official docs: Expose apps as MCP servers, Claude Desktop + Cursor integration, security
2026-03-27	051	saved	https://dify.ai/blog/turn-your-dify-app-into-an-mcp-server	Turn Your Dify App into an MCP Server - Dify Blog	Dify MCP server, Dify publish MCP, Dify application publishing	4520	Blog: mcp-server plugin setup, endpoint config, JSON input schema, Cursor demo
2026-03-27	052	saved	https://dify.ai/blog/v1-6-0-built-in-two-way-mcp-support	Dify v1.6.0: Built-in Two-Way MCP Support - Dify Blog	Dify MCP server, Dify API, Dify application publishing	4850	Blog: Native two-way MCP in v1.6, 3 usage modes, publish as MCP server, Linear/Zapier examples
